Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,Fraud,Year,Month,Day,DayOfWeek,PricePerItem,LargeCart,HighValueOrder,CouponUsed,WeekendOrder
5,5,314.27,529,0,3,549,6,1,3,1571.35,0,2023,1,22,6,314.27,1,0,1,1
4,4,474.69,74,3,0,815,6,1,2,1898.76,0,2023,1,15,6,474.69,1,0,1,1
0,4,593.27,501,4,4,476,5,0,1,2373.08,0,2024,9,11,2,593.27,1,0,1,0
1,1,417.1,383,2,3,181,3,0,4,417.1,0,2024,8,21,2,417.1,0,0,1,0
1,4,122.2,4,0,1,426,7,0,1,488.8,0,2024,3,24,6,122.2,1,0,1,1
1,2,43.15,421,2,2,22,3,2,0,86.3,0,2023,8,22,1,43.15,0,0,1,0
0,1,564.86,503,2,4,708,6,2,4,564.86,0,2025,2,2,6,564.86,1,0,1,1
5,3,130.61,460,2,0,597,4,0,1,391.83,0,2025,6,25,2,130.60999999999999,0,0,1,0
3,5,81.7,201,1,1,53,6,0,3,408.5,1,2023,12,30,5,81.7,1,0,1,1
0,5,127.18,435,0,0,78,9,1,4,635.9,0,2024,11,15,4,127.17999999999999,1,0,1,0
5,4,12.1,243,2,0,589,8,0,2,48.4,0,2024,12,9,0,12.1,1,0,1,0
0,3,490.92,432,1,2,945,5,0,0,1472.76,0,2023,12,11,0,490.92,1,0,1,0
3,3,478.65,326,4,4,329,4,0,4,1435.95,0,2023,5,11,3,478.65000000000003,0,0,1,0
1,1,629.21,200,3,2,231,2,0,3,629.21,0,2023,5,26,4,629.21,0,0,1,0
3,3,434.45,592,1,2,234,4,0,4,1303.35,0,2025,6,10,1,434.45,0,0,1,0
6,4,589.44,606,3,3,1024,5,0,1,2357.76,0,2024,12,22,6,589.44,1,0,1,1
3,4,433.45,23,3,0,919,4,0,1,1733.8,0,2023,5,3,2,433.45,0,0,1,0
4,5,90.87,376,0,2,717,5,0,3,454.35,0,2023,6,24,5,90.87,1,0,1,1
6,3,398.17,586,2,1,71,5,1,0,1194.51,0,2023,9,26,1,398.17,1,0,1,0
2,4,382.88,97,0,0,363,6,2,0,1531.52,0,2024,3,31,6,382.88,1,0,1,1
4,1,583.18,174,1,3,927,5,0,2,583.18,0,2024,5,24,4,583.18,1,0,1,0
5,4,175.36,33,2,1,786,4,0,3,701.44,0,2024,8,6,1,175.36,0,0,1,0
6,2,311.91,3,4,4,43,2,0,1,623.82,0,2025,3,10,0,311.91,0,0,1,0
4,3,589.56,353,4,3,240,6,0,1,1768.68,0,2023,6,27,1,589.5600000000001,1,0,1,0
3,2,394.3,283,0,4,647,6,0,0,788.6,0,2023,6,8,3,394.3,1,0,1,0
6,4,565.2,628,2,4,756,9,1,2,2260.8,0,2024,1,5,4,565.2,1,0,1,0
2,4,540.41,645,1,0,867,6,0,4,2161.64,0,2023,8,22,1,540.41,1,0,1,0
3,2,165.49,624,4,4,317,4,2,3,330.98,0,2023,8,28,0,165.49,0,0,1,0
6,3,146.73,469,0,1,1114,8,0,0,440.19,0,2024,9,9,0,146.73,1,0,1,0
5,5,643.03,247,4,0,1113,5,0,4,3215.15,0,2024,6,19,2,643.03,1,1,1,0
6,3,225.11,584,0,4,474,4,1,1,675.33,0,2024,10,10,3,225.11,0,0,1,0
1,3,114.81,153,3,0,124,7,0,2,344.43,0,2025,6,5,3,114.81,1,0,1,0
5,5,455.33,134,1,0,905,8,0,2,2276.65,0,2025,2,25,1,455.33000000000004,1,0,1,0
0,4,182.08,369,3,1,336,4,1,0,728.32,0,2023,9,18,0,182.08,0,0,1,0
2,5,492.75,69,0,4,392,6,2,4,2463.75,0,2023,3,15,2,492.75,1,0,1,0
5,4,48.61,75,4,4,470,7,0,1,194.44,0,2024,6,10,0,48.61,1,0,1,0
1,4,431.01,524,1,3,737,7,0,4,1724.04,0,2023,1,14,5,431.01,1,0,1,1
0,1,531.18,477,3,3,35,6,2,3,531.18,0,2023,2,11,5,531.18,1,0,1,1
5,4,117.51,526,2,3,653,7,0,4,470.04,0,2023,3,24,4,117.51,1,0,1,0
4,2,232.83,3,3,1,993,7,0,3,465.66,0,2024,6,1,5,232.83,1,0,1,1
6,5,619.52,591,2,2,386,9,0,0,3097.6,1,2025,1,21,1,619.52,1,1,1,0
5,2,228.54,310,2,2,585,3,0,0,457.08,0,2023,1,14,5,228.54,0,0,1,1
5,1,201.58,436,2,0,543,2,2,0,201.58,0,2025,4,12,5,201.58,0,0,1,1
4,3,664.79,455,4,1,569,6,0,1,1994.37,0,2023,2,17,4,664.79,1,0,1,0
5,1,381.02,39,0,4,114,6,0,2,381.02,0,2023,11,25,5,381.02,1,0,1,1
2,2,70.34,608,3,0,480,3,0,0,140.68,0,2023,3,8,2,70.34,0,0,1,0
4,4,218.43,296,1,0,1004,9,1,0,873.72,0,2025,1,25,5,218.43,1,0,1,1
4,1,582.04,391,3,1,378,1,0,0,582.04,0,2024,7,30,1,582.04,0,0,1,0
5,3,185.4,500,3,0,791,7,0,1,556.2,0,2024,10,24,3,185.4,1,0,1,0
1,3,465.05,20,1,0,1152,3,1,0,1395.15,0,2023,9,8,4,465.05,0,0,1,0
5,5,670.75,533,3,4,318,8,0,3,3353.75,1,2023,3,27,0,670.75,1,1,1,0
2,5,48.38,302,3,1,236,9,2,0,241.9,0,2024,12,28,5,48.38,1,0,1,1
1,3,592.87,25,3,4,110,3,0,4,1778.61,0,2023,9,17,6,592.87,0,0,1,1
6,1,220.77,204,3,2,287,5,0,3,220.77,0,2024,4,21,6,220.77,1,0,1,1
1,3,309.22,375,4,0,866,7,0,2,927.66,0,2025,5,7,2,309.21999999999997,1,0,1,0
3,1,410.6,230,4,0,93,2,2,4,410.6,0,2023,1,1,6,410.6,0,0,1,1
2,5,190.08,363,0,4,858,9,0,3,950.4,0,2024,1,17,2,190.07999999999998,1,0,1,0
3,5,498.48,11,4,2,248,8,1,2,2492.4,0,2025,1,27,0,498.48,1,0,1,0
4,5,374.99,17,4,4,185,9,1,1,1874.95,0,2023,11,27,0,374.99,1,0,1,0
5,4,291.35,7,1,0,754,6,2,1,1165.4,0,2023,3,19,6,291.35,1,0,1,1
6,1,535.5,355,3,0,950,5,2,4,535.5,0,2023,3,8,2,535.5,1,0,1,0
5,5,502.71,497,3,4,677,7,0,2,2513.55,0,2023,10,9,0,502.71000000000004,1,1,1,0
1,2,534.67,64,2,4,482,7,0,4,1069.34,0,2025,6,11,2,534.67,1,0,1,0
6,4,629.34,642,0,0,745,4,2,3,2517.36,0,2023,4,11,1,629.34,0,1,1,0
1,1,410.78,412,0,0,188,1,0,3,410.78,0,2023,11,30,3,410.78,0,0,1,0
2,2,533.02,351,3,4,258,2,0,1,1066.04,0,2024,4,15,0,533.02,0,0,1,0
1,3,278.04,444,4,1,681,5,0,3,834.12,0,2023,7,6,3,278.04,1,0,1,0
5,4,283.79,335,4,2,988,8,0,2,1135.16,0,2024,7,28,6,283.79,1,0,1,1
4,2,512.65,463,1,4,949,5,1,0,1025.3,0,2024,11,6,2,512.65,1,0,1,0
1,4,275.5,177,3,4,783,8,0,2,1102.0,0,2025,5,3,5,275.5,1,0,1,1
1,3,469.32,187,2,4,855,3,0,2,1407.96,0,2023,8,10,3,469.32,0,0,1,0
6,4,21.07,101,3,1,399,4,0,2,84.28,0,2023,2,17,4,21.07,0,0,1,0
2,4,263.93,232,2,4,835,4,0,1,1055.72,0,2023,10,27,4,263.93,0,0,1,0
1,3,501.3,295,4,0,1031,3,2,1,1503.9,0,2025,1,22,2,501.3,0,0,1,0
6,1,84.8,364,3,2,540,5,0,3,84.8,0,2023,1,8,6,84.8,1,0,1,1
6,4,450.75,347,1,4,44,6,2,0,1803.0,0,2023,3,28,1,450.75,1,0,1,0
0,4,302.05,384,2,0,797,6,1,2,1208.2,0,2025,6,20,4,302.05,1,0,1,0
2,2,199.7,347,0,2,98,4,0,0,399.4,0,2025,6,23,0,199.7,0,0,1,0
5,2,68.81,387,3,4,1013,5,1,4,137.62,0,2023,8,4,4,68.81,1,0,1,0
2,1,44.35,356,3,0,777,1,1,3,44.35,0,2024,4,27,5,44.35,0,0,1,1
3,2,250.98,359,1,1,24,5,0,2,501.96,0,2024,11,26,1,250.98,1,0,1,0
6,1,298.06,269,2,2,280,3,2,2,298.06,0,2023,12,21,3,298.06,0,0,1,0
4,1,583.9,434,0,3,302,1,0,0,583.9,0,2023,4,10,0,583.9,0,0,1,0
0,3,528.14,204,4,1,368,3,0,0,1584.42,0,2025,5,31,5,528.14,0,0,1,1
5,3,684.14,38,0,0,746,3,2,3,2052.42,0,2023,11,18,5,684.14,0,0,1,1
1,5,272.77,342,0,2,915,7,2,0,1363.85,0,2023,9,6,2,272.77,1,0,1,0
0,4,400.07,600,4,4,322,5,0,4,1600.28,0,2024,6,13,3,400.07,1,0,1,0
1,5,219.78,569,1,2,929,8,0,1,1098.9,1,2023,8,4,4,219.78000000000003,1,0,1,0
5,3,146.91,489,1,1,246,6,0,2,440.73,0,2024,3,2,5,146.91,1,0,1,1
6,2,411.49,219,1,3,794,4,0,3,822.98,0,2025,4,30,2,411.49,0,0,1,0
2,2,465.18,567,1,0,82,2,1,2,930.36,0,2025,5,6,1,465.18,0,0,1,0
4,2,319.91,29,1,0,610,3,2,2,639.82,0,2024,12,15,6,319.91,0,0,1,1
2,1,217.56,54,2,1,478,3,0,1,217.56,0,2023,12,27,2,217.56,0,0,1,0
4,2,105.57,637,2,3,251,5,2,2,211.14,0,2023,12,13,2,105.57,1,0,1,0
5,5,444.76,610,2,3,1076,7,0,0,2223.8,0,2023,12,1,4,444.76000000000005,1,0,1,0
0,2,399.04,400,0,0,1062,3,0,4,798.08,0,2025,1,2,3,399.04,0,0,1,0
0,4,534.48,240,4,3,1142,9,2,3,2137.92,0,2024,12,18,2,534.48,1,0,1,0
4,4,408.21,444,1,2,56,9,0,3,1632.84,0,2023,7,20,3,408.21,1,0,1,0
4,1,424.4,246,4,4,138,6,2,4,424.4,0,2023,2,27,0,424.4,1,0,1,0
0,2,269.83,393,4,1,191,4,1,0,539.66,0,2024,11,8,4,269.83,0,0,1,0
3,2,564.58,384,4,3,824,4,2,1,1129.16,0,2025,2,21,4,564.58,0,0,1,0
6,1,331.06,450,1,2,467,5,2,3,331.06,0,2024,5,16,3,331.06,1,0,1,0
5,1,299.35,509,1,0,528,5,2,0,299.35,0,2023,10,31,1,299.35,1,0,1,0
3,4,101.32,98,0,2,946,7,0,4,405.28,0,2023,2,17,4,101.32,1,0,1,0
3,1,211.14,295,1,0,570,1,1,1,211.14,0,2024,3,29,4,211.14,0,0,1,0
0,3,65.86,586,4,2,928,8,2,2,197.58,0,2023,7,27,3,65.86,1,0,1,0
6,1,641.39,126,4,0,86,1,0,4,641.39,0,2025,6,24,1,641.39,0,0,1,0
1,5,536.58,406,3,2,515,5,1,2,2682.9,0,2023,12,28,3,536.58,1,1,1,0
3,2,500.29,89,4,3,255,7,2,2,1000.58,0,2024,9,14,5,500.29,1,0,1,1
0,3,86.29,337,0,1,186,6,2,3,258.87,0,2025,3,4,1,86.29,1,0,1,0
0,2,384.14,86,4,3,441,2,2,0,768.28,0,2023,5,27,5,384.14,0,0,1,1
5,1,594.96,554,0,3,901,6,0,1,594.96,0,2025,1,4,5,594.96,1,0,1,1
5,1,427.82,448,4,1,906,2,2,0,427.82,0,2024,4,7,6,427.82,0,0,1,1
1,4,662.94,312,0,0,788,8,1,3,2651.76,0,2025,4,4,4,662.94,1,1,1,0
6,2,148.22,165,1,1,762,7,2,3,296.44,0,2023,8,15,1,148.22,1,0,1,0
5,1,254.12,187,4,1,421,1,2,0,254.12,0,2025,4,6,6,254.12,0,0,1,1
4,3,664.46,496,4,1,613,4,0,2,1993.38,0,2024,3,24,6,664.46,0,0,1,1
5,4,600.81,484,2,1,638,9,1,0,2403.24,0,2024,4,16,1,600.81,1,0,1,0
0,5,68.34,163,2,2,825,6,2,4,341.7,0,2025,2,8,5,68.34,1,0,1,1
6,4,430.83,327,3,2,1029,8,2,4,1723.32,0,2025,6,28,5,430.83,1,0,1,1
0,5,431.69,178,1,2,41,10,0,1,2158.45,1,2023,8,5,5,431.68999999999994,1,0,1,1
0,4,512.06,130,4,1,519,5,1,2,2048.24,0,2024,4,11,3,512.06,1,0,1,0
2,3,539.91,286,1,1,61,8,0,0,1619.73,0,2024,11,24,6,539.91,1,0,1,1
6,5,316.07,627,0,3,111,10,0,2,1580.35,0,2023,3,18,5,316.07,1,0,1,1
5,5,404.39,104,4,4,94,10,0,4,2021.95,0,2024,8,31,5,404.39,1,0,1,1
1,1,600.54,357,2,2,1145,4,2,2,600.54,0,2025,3,19,2,600.54,0,0,1,0
3,5,186.28,113,2,1,85,8,1,0,931.4,0,2024,4,18,3,186.28,1,0,1,0
6,4,214.54,92,3,0,373,7,0,4,858.16,0,2024,4,4,3,214.54,1,0,1,0
2,1,210.7,341,4,4,1153,2,2,4,210.7,0,2025,2,2,6,210.7,0,0,1,1
4,2,133.55,156,0,2,749,7,0,1,267.1,0,2023,12,7,3,133.55,1,0,1,0
0,1,590.87,420,3,3,909,6,0,4,590.87,0,2023,2,8,2,590.87,1,0,1,0
0,2,363.91,595,3,4,119,2,0,4,727.82,0,2025,3,15,5,363.91,0,0,1,1
5,5,429.45,358,3,0,690,5,2,0,2147.25,0,2023,7,5,2,429.45,1,0,1,0
5,3,223.7,442,0,3,922,3,1,0,671.1,0,2024,8,31,5,223.70000000000002,0,0,1,1
2,2,488.87,288,4,0,627,4,0,2,977.74,0,2025,3,8,5,488.87,0,0,1,1
1,1,645.46,38,3,0,122,5,1,2,645.46,0,2023,8,11,4,645.46,1,0,1,0
5,1,46.66,234,0,0,941,6,0,2,46.66,0,2023,7,21,4,46.66,1,0,1,0
3,1,249.57,571,0,4,1060,3,0,2,249.57,0,2024,6,8,5,249.57,0,0,1,1
0,3,619.21,492,2,0,728,6,0,0,1857.63,0,2024,4,22,0,619.21,1,0,1,0
1,4,217.13,438,0,1,707,8,2,0,868.52,0,2025,1,24,4,217.13,1,0,1,0
2,5,221.51,441,0,3,1132,5,2,4,1107.55,0,2023,8,27,6,221.51,1,0,1,1
2,4,340.3,594,0,0,1126,8,1,4,1361.2,0,2024,6,11,1,340.3,1,0,1,0
4,1,625.0,181,4,3,148,5,2,2,625.0,0,2025,1,23,3,625.0,1,0,1,0
6,5,433.26,569,1,1,355,9,1,2,2166.3,0,2025,6,7,5,433.26000000000005,1,0,1,1
3,2,674.9,33,4,4,873,4,1,1,1349.8,0,2023,6,18,6,674.9,0,0,1,1
3,3,253.98,384,1,0,552,3,0,0,761.94,0,2025,2,6,3,253.98000000000002,0,0,1,0
5,3,356.84,53,4,4,1055,5,1,3,1070.52,0,2025,1,21,1,356.84,1,0,1,0
2,4,413.71,269,3,0,157,9,0,1,1654.84,0,2023,9,5,1,413.71,1,0,1,0
1,3,147.39,367,2,3,624,3,0,0,442.17,0,2023,3,4,5,147.39000000000001,0,0,1,1
2,4,229.1,446,3,3,895,8,2,0,916.4,0,2024,4,16,1,229.1,1,0,1,0
4,1,121.96,654,2,1,444,3,0,2,121.96,0,2025,3,18,1,121.96,0,0,1,0
1,2,408.32,358,4,4,244,3,0,1,816.64,0,2024,10,8,1,408.32,0,0,1,0
6,5,187.97,430,0,3,261,9,1,2,939.85,0,2023,8,29,1,187.97,1,0,1,0
0,3,358.48,295,3,1,10,7,0,1,1075.44,0,2024,12,5,3,358.48,1,0,1,0
5,3,193.58,63,3,2,977,7,0,0,580.74,0,2025,1,3,4,193.58,1,0,1,0
3,1,265.38,189,1,0,323,6,2,0,265.38,0,2023,6,20,1,265.38,1,0,1,0
2,1,634.4,152,0,0,582,6,1,0,634.4,0,2023,4,20,3,634.4,1,0,1,0
1,4,305.72,412,4,1,1051,5,0,1,1222.88,0,2024,8,21,2,305.72,1,0,1,0
5,1,303.6,236,0,4,193,5,0,1,303.6,0,2023,8,10,3,303.6,1,0,1,0
3,4,496.0,501,4,0,984,8,2,2,1984.0,0,2025,4,15,1,496.0,1,0,1,0
1,4,321.51,578,0,3,731,9,0,2,1286.04,0,2024,5,20,0,321.51,1,0,1,0
6,3,112.46,557,3,4,13,6,1,3,337.38,0,2023,4,28,4,112.46,1,0,1,0
2,5,61.97,254,0,1,1191,6,1,0,309.85,0,2025,5,2,4,61.970000000000006,1,0,1,0
2,2,373.17,284,1,2,1131,6,1,4,746.34,0,2023,7,18,1,373.17,1,0,1,0
6,5,639.37,326,2,2,520,6,1,2,3196.85,1,2024,2,23,4,639.37,1,1,1,0
0,4,693.36,598,4,4,96,8,0,3,2773.44,0,2023,5,4,3,693.36,1,1,1,0
4,4,692.91,412,1,2,588,9,1,3,2771.64,1,2024,9,11,2,692.91,1,1,1,0
5,4,91.46,290,0,0,101,9,1,4,365.84,0,2023,9,23,5,91.46,1,0,1,1
4,3,273.96,422,2,3,521,8,1,2,821.88,0,2024,3,13,2,273.96,1,0,1,0
1,3,588.05,100,3,1,1104,8,0,3,1764.15,0,2025,6,27,4,588.0500000000001,1,0,1,0
3,2,365.17,177,4,0,1042,4,0,1,730.34,0,2023,11,2,3,365.17,0,0,1,0
0,4,385.92,344,1,0,1094,8,0,3,1543.68,0,2023,5,17,2,385.92,1,0,1,0
6,1,562.61,465,1,1,819,3,2,1,562.61,0,2025,3,28,4,562.61,0,0,1,0
1,4,61.91,611,3,1,192,6,2,0,247.64,0,2023,12,16,5,61.91,1,0,1,1
4,4,41.9,160,3,2,473,9,0,3,167.6,0,2023,11,5,6,41.9,1,0,1,1
5,4,444.44,368,2,0,871,8,2,2,1777.76,0,2023,5,19,4,444.44,1,0,1,0
4,3,311.33,33,0,0,852,3,2,3,933.99,0,2024,8,24,5,311.33,0,0,1,1
5,4,236.41,166,2,2,223,7,1,2,945.64,0,2024,11,26,1,236.41,1,0,1,0
1,1,65.45,505,0,2,254,2,2,2,65.45,0,2023,2,20,0,65.45,0,0,1,0
3,1,318.81,334,2,2,375,3,2,0,318.81,0,2023,1,1,6,318.81,0,0,1,1
3,3,583.72,479,1,4,860,5,0,1,1751.16,0,2024,3,14,3,583.72,1,0,1,0
1,4,384.32,471,1,2,885,6,2,2,1537.28,0,2024,12,13,4,384.32,1,0,1,0
6,3,538.74,253,4,4,823,6,0,0,1616.22,0,2024,12,11,2,538.74,1,0,1,0
6,1,17.24,111,4,2,1112,2,0,3,17.24,0,2023,7,12,2,17.24,0,0,1,0
0,5,615.67,220,4,2,438,6,1,0,3078.35,0,2023,5,16,1,615.67,1,1,1,0
5,2,219.1,26,4,2,1165,4,1,4,438.2,0,2023,5,9,1,219.1,0,0,1,0
0,2,144.66,289,4,0,260,7,0,2,289.32,0,2025,5,9,4,144.66,1,0,1,0
1,2,317.77,525,2,0,538,4,2,1,635.54,0,2023,2,16,3,317.77,0,0,1,0
2,1,223.3,146,4,3,203,1,0,1,223.3,0,2025,4,20,6,223.3,0,0,1,1
1,2,342.11,46,3,4,77,2,2,3,684.22,0,2024,8,30,4,342.11,0,0,1,0
5,2,220.9,481,3,4,987,4,0,0,441.8,0,2023,7,20,3,220.9,0,0,1,0
2,1,670.54,265,0,4,683,6,0,4,670.54,0,2023,7,2,6,670.54,1,0,1,1
5,1,546.19,102,0,2,331,5,0,4,546.19,0,2024,2,7,2,546.19,1,0,1,0
1,3,42.95,153,3,3,782,8,1,0,128.85,0,2023,4,5,2,42.949999999999996,1,0,1,0
3,4,14.69,504,0,0,301,9,0,0,58.76,0,2025,5,15,3,14.69,1,0,1,0
4,4,668.36,511,3,0,535,5,0,1,2673.44,0,2024,9,20,4,668.36,1,1,1,0
0,4,413.74,455,3,3,917,7,0,3,1654.96,0,2024,3,23,5,413.74,1,0,1,1
3,3,263.19,471,4,1,326,5,0,3,789.57,0,2023,12,26,1,263.19,1,0,1,0
3,1,263.96,496,3,3,602,2,1,2,263.96,0,2024,5,13,0,263.96,0,0,1,0
0,5,75.81,259,3,3,173,10,2,3,379.05,0,2025,6,30,0,75.81,1,0,1,0
4,1,406.22,433,1,0,393,5,1,4,406.22,0,2024,4,23,1,406.22,1,0,1,0
6,2,103.41,137,4,4,1123,2,0,4,206.82,0,2024,2,26,0,103.41,0,0,1,0
0,4,435.12,384,1,1,586,9,1,3,1740.48,0,2023,6,11,6,435.12,1,0,1,1
3,2,407.79,40,2,4,159,3,0,2,815.58,0,2023,5,17,2,407.79,0,0,1,0
4,5,173.65,256,3,1,206,9,1,0,868.25,0,2025,5,28,2,173.65,1,0,1,0
4,4,249.07,387,1,3,735,5,2,4,996.28,0,2023,1,10,1,249.07,1,0,1,0
4,4,434.85,107,1,2,398,4,2,2,1739.4,0,2023,3,25,5,434.85,0,0,1,1
6,1,436.77,633,0,3,121,5,0,2,436.77,0,2024,8,3,5,436.77,1,0,1,1
5,1,572.13,37,2,0,168,4,1,2,572.13,0,2023,12,22,4,572.13,0,0,1,0
0,4,583.07,352,1,0,497,6,0,4,2332.28,0,2024,6,8,5,583.07,1,0,1,1
0,5,468.51,493,2,1,684,9,0,1,2342.55,1,2025,4,17,3,468.51000000000005,1,0,1,0
4,2,423.88,397,2,1,498,7,1,4,847.76,0,2023,8,11,4,423.88,1,0,1,0
6,4,663.67,23,1,2,247,7,0,2,2654.68,0,2023,11,25,5,663.67,1,1,1,1
5,4,309.91,21,2,4,938,5,2,2,1239.64,0,2023,6,4,6,309.91,1,0,1,1
3,1,542.07,485,0,4,90,6,2,4,542.07,0,2023,3,28,1,542.07,1,0,1,0
0,2,399.32,14,4,2,40,6,2,3,798.64,0,2023,9,19,1,399.32,1,0,1,0
6,2,238.25,631,4,0,1075,7,0,0,476.5,0,2024,10,27,6,238.25,1,0,1,1
4,2,182.4,559,3,0,727,5,1,4,364.8,0,2023,2,4,5,182.4,1,0,1,1
